quantity,arm,median,detail
return_curve_final,pt,769.67,n_seeds=10
return_curve_final,vanilla,667.90,n_seeds=10
return_curve_final,ewc,682.61,n_seeds=10
fwt,pt,480.36,per-seed 509.6 451.1 611.9 367.4 556.8 511.2 586.6 397.1 401.9 389.4
fwt,vanilla,430.41,per-seed 345.0 332.6 366.0 427.3 516.2 464.6 433.5 587.9 310.8 440.4
fwt,ewc,421.88,per-seed 334.1 425.8 298.1 599.5 409.7 448.9 469.1 418.0 372.3 467.9
bwt,pt,92.57,per-seed -296.0 -21.6 -106.5 104.0 50.1 209.1 138.3 122.9 81.1 119.2
bwt,vanilla,-19.57,per-seed 22.5 -147.0 23.5 -236.9 -177.1 -77.8 130.1 -8.8 -30.3 116.5
bwt,ewc,-2.78,per-seed -50.2 91.4 324.1 -78.6 -209.6 -54.0 205.8 44.7 136.7 -70.4
ablation,vanilla,462.59,per-seed 439.4 450.3 377.0 466.6 501.5 487.2 459.3 528.7 370.4 465.9
ablation,pt_frozen,272.86,per-seed 271.0 282.8 274.7 288.9 291.1 256.0 256.6 283.3 224.3 259.4
ablation,pt,507.49,per-seed 538.0 500.1 557.9 432.7 485.1 520.5 537.7 466.0 492.7 514.8
actor_absorbed_frac,pt_frozen,0.0000,min=0.0000 max=0.0000
actor_absorbed_frac,pt_live,0.8867,min=0.3766 max=1.2108
