quantity,arm,median,detail
return_curve_final,pt,782.13,n_seeds=10
return_curve_final,vanilla,685.90,n_seeds=10
return_curve_final,ewc,694.12,n_seeds=10
fwt,pt,555.49,per-seed 610.1 670.4 550.9 293.2 501.8 565.2 560.1 574.5 484.0 519.2
fwt,vanilla,484.47,per-seed 503.6 424.2 493.2 350.3 541.4 502.8 420.9 349.1 478.9 490.0
fwt,ewc,494.99,per-seed 341.9 459.7 381.7 275.9 546.5 536.2 530.3 566.7 546.4 433.6
bwt,pt,-105.32,per-seed -38.6 -218.6 -195.0 -84.0 21.6 -126.6 23.7 -198.3 -132.7 -5.9
bwt,vanilla,-151.78,per-seed -157.4 -78.5 -144.5 -99.4 -265.3 -206.0 -228.8 -153.2 -5.0 -150.4
bwt,ewc,-104.04,per-seed -163.2 -127.5 -96.9 55.4 -129.6 95.5 -175.8 -42.8 -23.7 -111.1
ablation,vanilla,519.77,per-seed 513.1 546.9 526.5 458.5 509.3 499.6 528.3 528.6 530.8 480.5
