environment,arm,env_step,median_return
cartpole_swingup,vanilla,0,0.0
cartpole_swingup,vanilla,307969,318.95
cartpole_swingup,vanilla,615939,561.3
cartpole_swingup,vanilla,923909,483.89
cartpole_swingup,vanilla,1231879,450.39
cartpole_swingup,vanilla,1539849,679.84
cartpole_swingup,vanilla,1847819,683.66
cartpole_swingup,vanilla,2155789,442.35
cartpole_swingup,vanilla,2463759,506.9
cartpole_swingup,vanilla,2771729,689.02
cartpole_swingup,ewc,0,0.0
cartpole_swingup,ewc,307969,318.95
cartpole_swingup,ewc,615939,561.3
cartpole_swingup,ewc,923909,449.72
cartpole_swingup,ewc,1231879,448.91
cartpole_swingup,ewc,1539849,698.73
cartpole_swingup,ewc,1847819,723.82
cartpole_swingup,ewc,2155789,513.35
cartpole_swingup,ewc,2463759,525.59
cartpole_swingup,ewc,2771729,700.9
cartpole_swingup,pt,0,0.0
cartpole_swingup,pt,307969,293.22
cartpole_swingup,pt,615939,607.08
cartpole_swingup,pt,923909,467.68
cartpole_swingup,pt,1231879,497.1
cartpole_swingup,pt,1539849,744.67
cartpole_swingup,pt,1847819,771.52
cartpole_swingup,pt,2155789,487.87
cartpole_swingup,pt,2463759,492.18
cartpole_swingup,pt,2771729,745.11
reacher_easy,vanilla,0,0.0
reacher_easy,vanilla,307969,517.35
reacher_easy,vanilla,615939,636.53
reacher_easy,vanilla,923909,625.3
reacher_easy,vanilla,1231879,665.73
reacher_easy,vanilla,1539849,500.57
reacher_easy,vanilla,1847819,503.81
reacher_easy,vanilla,2155789,653.65
reacher_easy,vanilla,2463759,646.43
reacher_easy,vanilla,2771729,504.22
reacher_easy,ewc,0,0.0
reacher_easy,ewc,307969,517.35
reacher_easy,ewc,615939,636.53
reacher_easy,ewc,923909,636.5
reacher_easy,ewc,1231879,639.27
reacher_easy,ewc,1539849,451.39
reacher_easy,ewc,1847819,479.25
reacher_easy,ewc,2155789,655.11
reacher_easy,ewc,2463759,669.57
reacher_easy,ewc,2771729,518.19
