environment,arm,seed_index,final_return
walker_stand,vanilla,0,622.4
walker_stand,vanilla,1,268.7
walker_stand,vanilla,2,747.3
walker_stand,vanilla,3,484.8
walker_stand,vanilla,4,213.9
walker_stand,vanilla,5,200.1
walker_stand,vanilla,6,270.7
walker_stand,vanilla,7,496.0
walker_stand,vanilla,8,209.0
walker_stand,vanilla,9,170.9
walker_stand,ewc,0,738.2
walker_stand,ewc,1,452.8
walker_stand,ewc,2,831.0
walker_stand,ewc,3,317.9
walker_stand,ewc,4,274.5
walker_stand,ewc,5,232.4
walker_stand,ewc,6,227.5
walker_stand,ewc,7,740.0
walker_stand,ewc,8,306.0
walker_stand,ewc,9,224.0
walker_stand,pt,0,298.3
walker_stand,pt,1,316.4
walker_stand,pt,2,780.6
walker_stand,pt,3,310.6
walker_stand,pt,4,708.2
walker_stand,pt,5,770.1
walker_stand,pt,6,218.0
walker_stand,pt,7,828.6
walker_stand,pt,8,236.7
walker_stand,pt,9,832.6
walker_walk,vanilla,0,286.4
walker_walk,vanilla,1,183.7
walker_walk,vanilla,2,230.3
walker_walk,vanilla,3,235.1
walker_walk,vanilla,4,280.3
walker_walk,vanilla,5,281.1
walker_walk,vanilla,6,219.9
walker_walk,vanilla,7,292.3
walker_walk,vanilla,8,118.6
walker_walk,vanilla,9,91.4
walker_walk,ewc,0,200.4
walker_walk,ewc,1,193.7
walker_walk,ewc,2,238.3
walker_walk,ewc,3,378.8
walker_walk,ewc,4,220.0
walker_walk,ewc,5,564.8
walker_walk,ewc,6,126.5
walker_walk,ewc,7,329.4
walker_walk,ewc,8,240.7
walker_walk,ewc,9,191.7
walker_walk,pt,0,165.6
walker_walk,pt,1,251.3
walker_walk,pt,2,191.3
walker_walk,pt,3,325.0
walker_walk,pt,4,520.6
walker_walk,pt,5,223.6
walker_walk,pt,6,192.5
walker_walk,pt,7,297.4
walker_walk,pt,8,235.8
walker_walk,pt,9,191.2
