environment,arm,median_peak_return,median_bwt
cartpole_swingup,vanilla,752.3,-40.6
reacher_easy,vanilla,734.5,-0.3
ball_in_cup_catch,vanilla,894.4,-108.8
walker_stand,vanilla,500.5,-133.8
walker_walk,vanilla,400.2,-141.9
cheetah_run,vanilla,409.6,-107.3
cartpole_swingup,ewc,821.6,-88.3
reacher_easy,ewc,734.7,-29.2
ball_in_cup_catch,ewc,893.9,-247.7
walker_stand,ewc,513.8,-54.6
walker_walk,ewc,411.8,-64.3
cheetah_run,ewc,412.3,-26.6
cartpole_swingup,pt,792.5,-45.5
reacher_easy,pt,675.8,-39.8
ball_in_cup_catch,pt,888.7,-220.1
walker_stand,pt,662.2,4.6
walker_walk,pt,346.1,-29.7
cheetah_run,pt,419.6,-0.9
