quantity,arm,median,detail
return_curve_final,pt,84.26,n_seeds=5
return_curve_final,vanilla,1876.09,n_seeds=5
return_curve_final,ewc,1636.47,n_seeds=5
fwt,pt,-94.12,per-seed -35.2 -324.8 -358.6 -94.1 25.4
fwt,vanilla,92.45,per-seed 208.3 233.7 -73.3 92.2 92.5
fwt,ewc,252.51,per-seed 620.5 162.3 292.9 187.1 252.5
bwt,pt,-272.49,per-seed 391.0 -234.6 -743.0 -563.5 -272.5
bwt,vanilla,-995.38,per-seed -165.8 -1873.2 -698.7 -995.4 -1113.1
bwt,ewc,-884.48,per-seed -884.5 -1407.9 -451.0 -1639.4 -496.8
ablation,vanilla,356.31,per-seed 378.5 356.3 235.0 383.9 290.4
ablation,pt_frozen,-481.73,per-seed -510.6 -481.7 -467.1 -523.8 -472.1
ablation,pt,-335.81,per-seed -383.6 -335.8 -339.5 -308.5 -327.5
actor_absorbed_frac,pt_frozen,0.0000,min=0.0000 max=0.0000
actor_absorbed_frac,pt_live,0.9476,min=0.7652 max=0.9868
