setup,environment,arm,env_step,median_return
lipschitz1,cartpole_swingup,vanilla,0,0.0
lipschitz1,cartpole_swingup,vanilla,307969,274.31
lipschitz1,cartpole_swingup,vanilla,615939,432.52
lipschitz1,cartpole_swingup,vanilla,923909,644.95
lipschitz1,cartpole_swingup,vanilla,1231879,638.16
lipschitz1,cartpole_swingup,vanilla,1539849,576.66
lipschitz1,cartpole_swingup,vanilla,1847819,564.92
lipschitz1,cartpole_swingup,vanilla,2155789,638.66
lipschitz1,cartpole_swingup,vanilla,2463759,632.38
lipschitz1,cartpole_swingup,vanilla,2771729,523.07
lipschitz1,cartpole_swingup,ewc,0,0.0
lipschitz1,cartpole_swingup,ewc,307969,278.31
lipschitz1,cartpole_swingup,ewc,615939,445.27
lipschitz1,cartpole_swingup,ewc,923909,692.8
lipschitz1,cartpole_swingup,ewc,1231879,625.65
lipschitz1,cartpole_swingup,ewc,1539849,532.12
lipschitz1,cartpole_swingup,ewc,1847819,575.99
lipschitz1,cartpole_swingup,ewc,2155789,660.92
lipschitz1,cartpole_swingup,ewc,2463759,654.65
lipschitz1,cartpole_swingup,ewc,2771729,548.78
lipschitz1,cartpole_swingup,pt,0,0.0
lipschitz1,cartpole_swingup,pt,307969,246.52
lipschitz1,cartpole_swingup,pt,615939,399.17
lipschitz1,cartpole_swingup,pt,923909,707.41
lipschitz1,cartpole_swingup,pt,1231879,697.98
lipschitz1,cartpole_swingup,pt,1539849,524.92
lipschitz1,cartpole_swingup,pt,1847819,585.86
lipschitz1,cartpole_swingup,pt,2155789,756.27
lipschitz1,cartpole_swingup,pt,2463759,756.11
lipschitz1,cartpole_swingup,pt,2771729,544.21
lipschitz1,reacher_easy,vanilla,0,0.0
lipschitz1,reacher_easy,vanilla,307969,479.78
lipschitz1,reacher_easy,vanilla,615939,534.65
lipschitz1,reacher_easy,vanilla,923909,390.99
lipschitz1,reacher_easy,vanilla,1231879,519.21
lipschitz1,reacher_easy,vanilla,1539849,613.98
lipschitz1,reacher_easy,vanilla,1847819,617.28
lipschitz1,reacher_easy,vanilla,2155789,413.56
lipschitz1,reacher_easy,vanilla,2463759,550.14
lipschitz1,reacher_easy,vanilla,2771729,646.7
lipschitz1,reacher_easy,ewc,0,0.0
lipschitz1,reacher_easy,ewc,307969,452.13
lipschitz1,reacher_easy,ewc,615939,543.77
lipschitz1,reacher_easy,ewc,923909,448.35
lipschitz1,reacher_easy,ewc,1231879,602.39
lipschitz1,reacher_easy,ewc,1539849,662.84
lipschitz1,reacher_easy,ewc,1847819,699.71
lipschitz1,reacher_easy,ewc,2155789,481.18
lipschitz1,reacher_easy,ewc,2463759,595.36
lipschitz1,reacher_easy,ewc,2771729,678.02
lipschitz1,reacher_easy,pt,0,0.0
lipschitz1,reacher_easy,pt,307969,507.5
lipschitz1,reacher_easy,pt,615939,521.91
lipschitz1,reacher_easy,pt,923909,410.25
lipschitz1,reacher_easy,pt,1231879,571.12
lipschitz1,reacher_easy,pt,1539849,597.51
lipschitz1,reacher_easy,pt,1847819,617.82
lipschitz1,reacher_easy,pt,2155789,460.09
lipschitz1,reacher_easy,pt,2463759,615.02
lipschitz1,reacher_easy,pt,2771729,625.64
lipschitz1,cheetah_run,vanilla,0,0.0
lipschitz1,cheetah_run,vanilla,307969,228.27
lipschitz1,cheetah_run,vanilla,615939,358.7
lipschitz1,cheetah_run,vanilla,923909,312.16
lipschitz1,cheetah_run,vanilla,1231879,365.47
lipschitz1,cheetah_run,vanilla,1539849,362.48
lipschitz1,cheetah_run,vanilla,1847819,379.97
lipschitz1,cheetah_run,vanilla,2155789,247.48
lipschitz1,cheetah_run,vanilla,2463759,303.78
lipschitz1,cheetah_run,vanilla,2771729,339.34
lipschitz1,cheetah_run,ewc,0,0.0
lipschitz1,cheetah_run,ewc,307969,249.68
lipschitz1,cheetah_run,ewc,615939,371.55
lipschitz1,cheetah_run,ewc,923909,320.5
lipschitz1,cheetah_run,ewc,1231879,389.63
lipschitz1,cheetah_run,ewc,1539849,404.41
lipschitz1,cheetah_run,ewc,1847819,412.52
lipschitz1,cheetah_run,ewc,2155789,352.17
lipschitz1,cheetah_run,ewc,2463759,420.34
lipschitz1,cheetah_run,ewc,2771729,383.56
lipschitz1,cheetah_run,pt,0,0.0
lipschitz1,cheetah_run,pt,307969,207.78
lipschitz1,cheetah_run,pt,615939,328.5
lipschitz1,cheetah_run,pt,923909,311.38
lipschitz1,cheetah_run,pt,1231879,416.07
lipschitz1,cheetah_run,pt,1539849,428.21
lipschitz1,cheetah_run,pt,1847819,442.68
lipschitz1,cheetah_run,pt,2155789,352.32
lipschitz1,cheetah_run,pt,2463759,436.66
lipschitz1,cheetah_run,pt,2771729,439.06
lipschitz1,walker_stand,vanilla,0,0.0
lipschitz1,walker_stand,vanilla,307969,245.8
lipschitz1,walker_stand,vanilla,615939,278.62
lipschitz1,walker_stand,vanilla,923909,277.82
lipschitz1,walker_stand,vanilla,1231879,294.34
lipschitz1,walker_stand,vanilla,1539849,314.47
lipschitz1,walker_stand,vanilla,1847819,303.77
lipschitz1,walker_stand,vanilla,2155789,272.47
lipschitz1,walker_stand,vanilla,2463759,272.43
lipschitz1,walker_stand,vanilla,2771729,290.15
lipschitz1,walker_stand,ewc,0,0.0
lipschitz1,walker_stand,ewc,307969,309.46
lipschitz1,walker_stand,ewc,615939,352.96
lipschitz1,walker_stand,ewc,923909,356.75
lipschitz1,walker_stand,ewc,1231879,409.98
lipschitz1,walker_stand,ewc,1539849,414.48
lipschitz1,walker_stand,ewc,1847819,409.62
lipschitz1,walker_stand,ewc,2155789,288.86
lipschitz1,walker_stand,ewc,2463759,339.52
lipschitz1,walker_stand,ewc,2771729,368.87
lipschitz1,walker_stand,pt,0,0.0
lipschitz1,walker_stand,pt,307969,233.13
lipschitz1,walker_stand,pt,615939,278.55
lipschitz1,walker_stand,pt,923909,273.46
lipschitz1,walker_stand,pt,1231879,360.86
lipschitz1,walker_stand,pt,1539849,399.06
lipschitz1,walker_stand,pt,1847819,461.64
lipschitz1,walker_stand,pt,2155789,339.32
lipschitz1,walker_stand,pt,2463759,404.81
lipschitz1,walker_stand,pt,2771729,426.45
lipschitz1,walker_walk,vanilla,0,0.0
lipschitz1,walker_walk,vanilla,307969,205.99
lipschitz1,walker_walk,vanilla,615939,292.58
lipschitz1,walker_walk,vanilla,923909,220.42
lipschitz1,walker_walk,vanilla,1231879,315.41
lipschitz1,walker_walk,vanilla,1539849,278.22
lipschitz1,walker_walk,vanilla,1847819,240.91
lipschitz1,walker_walk,vanilla,2155789,146.27
lipschitz1,walker_walk,vanilla,2463759,215.34
lipschitz1,walker_walk,vanilla,2771729,188.87
lipschitz1,walker_walk,ewc,0,0.0
lipschitz1,walker_walk,ewc,307969,223.24
lipschitz1,walker_walk,ewc,615939,360.87
lipschitz1,walker_walk,ewc,923909,230.41
lipschitz1,walker_walk,ewc,1231879,323.62
lipschitz1,walker_walk,ewc,1539849,342.72
lipschitz1,walker_walk,ewc,1847819,341.17
