setup,environment,env_step,median_return
lipschitz2,cartpole_swingup,0,0.0
lipschitz2,cartpole_swingup,307969,246.29
lipschitz2,cartpole_swingup,615939,407.1
lipschitz2,cartpole_swingup,923909,712.69
lipschitz2,cartpole_swingup,1231879,727.04
lipschitz2,cartpole_swingup,1539849,569.0
lipschitz2,cartpole_swingup,1847819,610.17
lipschitz2,cartpole_swingup,2155789,776.07
lipschitz2,cartpole_swingup,2463759,740.96
lipschitz2,cartpole_swingup,2771729,612.13
lipschitz2,reacher_easy,0,0.0
lipschitz2,reacher_easy,307969,500.86
lipschitz2,reacher_easy,615939,508.7
lipschitz2,reacher_easy,923909,400.01
lipschitz2,reacher_easy,1231879,531.03
lipschitz2,reacher_easy,1539849,582.13
lipschitz2,reacher_easy,1847819,547.67
lipschitz2,reacher_easy,2155789,452.65
lipschitz2,reacher_easy,2463759,549.46
lipschitz2,reacher_easy,2771729,663.64
lipschitz2,cheetah_run,0,0.0
lipschitz2,cheetah_run,307969,186.05
lipschitz2,cheetah_run,615939,312.08
lipschitz2,cheetah_run,923909,287.06
lipschitz2,cheetah_run,1231879,365.75
lipschitz2,cheetah_run,1539849,393.02
lipschitz2,cheetah_run,1847819,395.48
lipschitz2,cheetah_run,2155789,333.8
lipschitz2,cheetah_run,2463759,403.67
lipschitz2,cheetah_run,2771729,407.61
lipschitz2,walker_stand,0,0.0
lipschitz2,walker_stand,307969,238.88
lipschitz2,walker_stand,615939,282.71
lipschitz2,walker_stand,923909,271.61
lipschitz2,walker_stand,1231879,320.96
lipschitz2,walker_stand,1539849,358.98
lipschitz2,walker_stand,1847819,362.65
lipschitz2,walker_stand,2155789,293.04
lipschitz2,walker_stand,2463759,344.87
lipschitz2,walker_stand,2771729,376.6
lipschitz2,walker_walk,0,0.0
lipschitz2,walker_walk,307969,165.33
lipschitz2,walker_walk,615939,237.19
lipschitz2,walker_walk,923909,194.26
lipschitz2,walker_walk,1231879,269.36
lipschitz2,walker_walk,1539849,303.81
lipschitz2,walker_walk,1847819,342.36
lipschitz2,walker_walk,2155789,206.3
lipschitz2,walker_walk,2463759,283.22
lipschitz2,walker_walk,2771729,333.97
