setup,environment,arm,env_step,median_return
piecewise,cartpole_swingup,vanilla,0,0.0
piecewise,cartpole_swingup,vanilla,307969,318.95
piecewise,cartpole_swingup,vanilla,615939,561.3
piecewise,cartpole_swingup,vanilla,923909,483.89
piecewise,cartpole_swingup,vanilla,1231879,450.39
piecewise,cartpole_swingup,vanilla,1539849,679.84
piecewise,cartpole_swingup,vanilla,1847819,683.66
piecewise,cartpole_swingup,vanilla,2155789,442.35
piecewise,cartpole_swingup,vanilla,2463759,506.9
piecewise,cartpole_swingup,vanilla,2771729,689.02
piecewise,cartpole_swingup,ewc,0,0.0
piecewise,cartpole_swingup,ewc,307969,318.95
piecewise,cartpole_swingup,ewc,615939,561.3
piecewise,cartpole_swingup,ewc,923909,449.72
piecewise,cartpole_swingup,ewc,1231879,448.91
piecewise,cartpole_swingup,ewc,1539849,698.73
piecewise,cartpole_swingup,ewc,1847819,723.82
piecewise,cartpole_swingup,ewc,2155789,513.35
piecewise,cartpole_swingup,ewc,2463759,525.59
piecewise,cartpole_swingup,ewc,2771729,700.9
piecewise,cartpole_swingup,pt,0,0.0
piecewise,cartpole_swingup,pt,307969,293.22
piecewise,cartpole_swingup,pt,615939,607.08
piecewise,cartpole_swingup,pt,923909,467.68
piecewise,cartpole_swingup,pt,1231879,497.1
piecewise,cartpole_swingup,pt,1539849,744.67
piecewise,cartpole_swingup,pt,1847819,771.52
piecewise,cartpole_swingup,pt,2155789,487.87
piecewise,cartpole_swingup,pt,2463759,492.18
piecewise,cartpole_swingup,pt,2771729,745.11
piecewise,reacher_easy,vanilla,0,0.0
piecewise,reacher_easy,vanilla,307969,517.35
piecewise,reacher_easy,vanilla,615939,636.53
piecewise,reacher_easy,vanilla,923909,625.3
piecewise,reacher_easy,vanilla,1231879,665.73
piecewise,reacher_easy,vanilla,1539849,500.57
piecewise,reacher_easy,vanilla,1847819,503.81
piecewise,reacher_easy,vanilla,2155789,653.65
piecewise,reacher_easy,vanilla,2463759,646.43
piecewise,reacher_easy,vanilla,2771729,504.22
piecewise,reacher_easy,ewc,0,0.0
piecewise,reacher_easy,ewc,307969,517.35
piecewise,reacher_easy,ewc,615939,636.53
piecewise,reacher_easy,ewc,923909,636.5
piecewise,reacher_easy,ewc,1231879,639.27
piecewise,reacher_easy,ewc,1539849,451.39
piecewise,reacher_easy,ewc,1847819,479.25
piecewise,reacher_easy,ewc,2155789,655.11
piecewise,reacher_easy,ewc,2463759,669.57
piecewise,reacher_easy,ewc,2771729,518.19
piecewise,reacher_easy,pt,0,0.0
piecewise,reacher_easy,pt,307969,509.19
piecewise,reacher_easy,pt,615939,621.36
piecewise,reacher_easy,pt,923909,581.14
piecewise,reacher_easy,pt,1231879,576.39
piecewise,reacher_easy,pt,1539849,321.48
piecewise,reacher_easy,pt,1847819,395.62
piecewise,reacher_easy,pt,2155789,606.75
piecewise,reacher_easy,pt,2463759,547.85
piecewise,reacher_easy,pt,2771729,381.52
piecewise,ball_in_cup_catch,vanilla,0,0.0
piecewise,ball_in_cup_catch,vanilla,307969,626.37
piecewise,ball_in_cup_catch,vanilla,615939,799.25
piecewise,ball_in_cup_catch,vanilla,923909,842.16
piecewise,ball_in_cup_catch,vanilla,1231879,868.97
piecewise,ball_in_cup_catch,vanilla,1539849,836.08
piecewise,ball_in_cup_catch,vanilla,1847819,844.39
piecewise,ball_in_cup_catch,vanilla,2155789,856.47
piecewise,ball_in_cup_catch,vanilla,2463759,874.55
piecewise,ball_in_cup_catch,vanilla,2771729,852.92
piecewise,ball_in_cup_catch,ewc,0,0.0
piecewise,ball_in_cup_catch,ewc,307969,626.37
piecewise,ball_in_cup_catch,ewc,615939,799.25
piecewise,ball_in_cup_catch,ewc,923909,824.12
piecewise,ball_in_cup_catch,ewc,1231879,864.17
piecewise,ball_in_cup_catch,ewc,1539849,824.58
piecewise,ball_in_cup_catch,ewc,1847819,842.3
piecewise,ball_in_cup_catch,ewc,2155789,862.11
piecewise,ball_in_cup_catch,ewc,2463759,865.32
piecewise,ball_in_cup_catch,ewc,2771729,854.48
piecewise,ball_in_cup_catch,pt,0,0.0
piecewise,ball_in_cup_catch,pt,307969,492.46
piecewise,ball_in_cup_catch,pt,615939,702.69
piecewise,ball_in_cup_catch,pt,923909,807.74
piecewise,ball_in_cup_catch,pt,1231879,842.25
piecewise,ball_in_cup_catch,pt,1539849,781.24
piecewise,ball_in_cup_catch,pt,1847819,810.07
piecewise,ball_in_cup_catch,pt,2155789,849.37
piecewise,ball_in_cup_catch,pt,2463759,867.7
piecewise,ball_in_cup_catch,pt,2771729,858.28
piecewise,cheetah_run,vanilla,0,0.0
piecewise,cheetah_run,vanilla,307969,219.52
piecewise,cheetah_run,vanilla,615939,370.11
piecewise,cheetah_run,vanilla,923909,374.15
piecewise,cheetah_run,vanilla,1231879,401.58
piecewise,cheetah_run,vanilla,1539849,322.51
piecewise,cheetah_run,vanilla,1847819,341.38
piecewise,cheetah_run,vanilla,2155789,345.4
piecewise,cheetah_run,vanilla,2463759,352.64
piecewise,cheetah_run,vanilla,2771729,257.57
piecewise,cheetah_run,ewc,0,0.0
piecewise,cheetah_run,ewc,307969,219.52
piecewise,cheetah_run,ewc,615939,370.11
piecewise,cheetah_run,ewc,923909,376.97
piecewise,cheetah_run,ewc,1231879,389.01
piecewise,cheetah_run,ewc,1539849,289.95
piecewise,cheetah_run,ewc,1847819,325.58
piecewise,cheetah_run,ewc,2155789,363.37
piecewise,cheetah_run,ewc,2463759,374.2
piecewise,cheetah_run,ewc,2771729,295.98
piecewise,cheetah_run,pt,0,0.0
piecewise,cheetah_run,pt,307969,212.89
piecewise,cheetah_run,pt,615939,323.38
piecewise,cheetah_run,pt,923909,346.18
piecewise,cheetah_run,pt,1231879,392.07
piecewise,cheetah_run,pt,1539849,288.63
piecewise,cheetah_run,pt,1847819,312.8
piecewise,cheetah_run,pt,2155789,391.03
piecewise,cheetah_run,pt,2463759,407.59
piecewise,cheetah_run,pt,2771729,317.71
piecewise,walker_stand,vanilla,0,0.0
piecewise,walker_stand,vanilla,307969,283.26
piecewise,walker_stand,vanilla,615939,417.93
piecewise,walker_stand,vanilla,923909,474.43
piecewise,walker_stand,vanilla,1231879,495.02
piecewise,walker_stand,vanilla,1539849,296.81
piecewise,walker_stand,vanilla,1847819,320.59
piecewise,walker_stand,vanilla,2155789,314.91
piecewise,walker_stand,vanilla,2463759,299.32
piecewise,walker_stand,vanilla,2771729,268.55
piecewise,walker_stand,ewc,0,0.0
piecewise,walker_stand,ewc,307969,283.26
piecewise,walker_stand,ewc,615939,417.93
piecewise,walker_stand,ewc,923909,473.75
piecewise,walker_stand,ewc,1231879,495.03
piecewise,walker_stand,ewc,1539849,280.03
piecewise,walker_stand,ewc,1847819,295.6
piecewise,walker_stand,ewc,2155789,381.53
piecewise,walker_stand,ewc,2463759,426.58
piecewise,walker_stand,ewc,2771729,277.15
piecewise,walker_stand,pt,0,0.0
piecewise,walker_stand,pt,307969,230.48
piecewise,walker_stand,pt,615939,299.25
piecewise,walker_stand,pt,923909,402.81
piecewise,walker_stand,pt,1231879,476.32
piecewise,walker_stand,pt,1539849,421.86
piecewise,walker_stand,pt,1847819,549.36
piecewise,walker_stand,pt,2155789,562.33
piecewise,walker_stand,pt,2463759,612.25
piecewise,walker_stand,pt,2771729,491.93
piecewise,walker_walk,vanilla,0,0.0
piecewise,walker_walk,vanilla,307969,234.78
piecewise,walker_walk,vanilla,615939,360.8
piecewise,walker_walk,vanilla,923909,329.28
piecewise,walker_walk,vanilla,1231879,354.51
piecewise,walker_walk,vanilla,1539849,271.19
piecewise,walker_walk,vanilla,1847819,306.92
piecewise,walker_walk,vanilla,2155789,264.28
piecewise,walker_walk,vanilla,2463759,285.9
piecewise,walker_walk,vanilla,2771729,231.13
piecewise,walker_walk,ewc,0,0.0
piecewise,walker_walk,ewc,307969,234.78
piecewise,walker_walk,ewc,615939,360.8
piecewise,walker_walk,ewc,923909,332.65
piecewise,walker_walk,ewc,1231879,368.31
piecewise,walker_walk,ewc,1539849,232.56
piecewise,walker_walk,ewc,1847819,227.92
piecewise,walker_walk,ewc,2155789,294.3
piecewise,walker_walk,ewc,2463759,308.23
piecewise,walker_walk,ewc,2771729,214.56
piecewise,walker_walk,pt,0,0.0
piecewise,walker_walk,pt,307969,156.71
piecewise,walker_walk,pt,615939,246.81
piecewise,walker_walk,pt,923909,260.85
piecewise,walker_walk,pt,1231879,320.93
piecewise,walker_walk,pt,1539849,179.89
piecewise,walker_walk,pt,1847819,215.24
piecewise,walker_walk,pt,2155789,298.65
piecewise,walker_walk,pt,2463759,342.12
piecewise,walker_walk,pt,2771729,213.72
