setup,environment,env_step,median_return
piecewise,cartpole_swingup,0,0.0
piecewise,cartpole_swingup,307969,293.22
piecewise,cartpole_swingup,615939,607.08
piecewise,cartpole_swingup,923909,467.68
piecewise,cartpole_swingup,1231879,497.1
piecewise,cartpole_swingup,1539849,744.67
piecewise,cartpole_swingup,1847819,771.52
piecewise,cartpole_swingup,2155789,487.87
piecewise,cartpole_swingup,2463759,492.18
piecewise,cartpole_swingup,2771729,745.11
piecewise,reacher_easy,0,0.0
piecewise,reacher_easy,307969,509.19
piecewise,reacher_easy,615939,621.36
piecewise,reacher_easy,923909,581.14
piecewise,reacher_easy,1231879,576.39
piecewise,reacher_easy,1539849,321.48
piecewise,reacher_easy,1847819,395.62
piecewise,reacher_easy,2155789,606.75
piecewise,reacher_easy,2463759,547.85
piecewise,reacher_easy,2771729,381.52
piecewise,ball_in_cup_catch,0,0.0
piecewise,ball_in_cup_catch,307969,492.46
piecewise,ball_in_cup_catch,615939,702.69
piecewise,ball_in_cup_catch,923909,807.74
piecewise,ball_in_cup_catch,1231879,842.25
piecewise,ball_in_cup_catch,1539849,781.24
piecewise,ball_in_cup_catch,1847819,810.07
piecewise,ball_in_cup_catch,2155789,849.37
piecewise,ball_in_cup_catch,2463759,867.7
piecewise,ball_in_cup_catch,2771729,858.28
piecewise,cheetah_run,0,0.0
piecewise,cheetah_run,307969,212.89
piecewise,cheetah_run,615939,323.38
piecewise,cheetah_run,923909,346.18
piecewise,cheetah_run,1231879,392.07
piecewise,cheetah_run,1539849,288.63
piecewise,cheetah_run,1847819,312.8
piecewise,cheetah_run,2155789,391.03
piecewise,cheetah_run,2463759,407.59
piecewise,cheetah_run,2771729,317.71
piecewise,walker_stand,0,0.0
piecewise,walker_stand,307969,230.48
piecewise,walker_stand,615939,299.25
piecewise,walker_stand,923909,402.81
piecewise,walker_stand,1231879,476.32
piecewise,walker_stand,1539849,421.86
piecewise,walker_stand,1847819,549.36
piecewise,walker_stand,2155789,562.33
piecewise,walker_stand,2463759,612.25
piecewise,walker_stand,2771729,491.93
piecewise,walker_walk,0,0.0
piecewise,walker_walk,307969,156.71
piecewise,walker_walk,615939,246.81
piecewise,walker_walk,923909,260.85
piecewise,walker_walk,1231879,320.93
piecewise,walker_walk,1539849,179.89
piecewise,walker_walk,1847819,215.24
piecewise,walker_walk,2155789,298.65
piecewise,walker_walk,2463759,342.12
piecewise,walker_walk,2771729,213.72
