setup,environment,arm,metric,value
piecewise,cartpole_swingup,vanilla,forward transfer (FWT),396.29
piecewise,cartpole_swingup,vanilla,forward transfer (FWT),463.69
piecewise,cartpole_swingup,vanilla,forward transfer (FWT),479.72
piecewise,cartpole_swingup,vanilla,forward transfer (FWT),371.91
piecewise,cartpole_swingup,vanilla,forward transfer (FWT),636.67
piecewise,cartpole_swingup,vanilla,forward transfer (FWT),379.9
piecewise,cartpole_swingup,vanilla,forward transfer (FWT),444.84
piecewise,cartpole_swingup,vanilla,forward transfer (FWT),433.74
piecewise,cartpole_swingup,vanilla,forward transfer (FWT),430.98
piecewise,cartpole_swingup,vanilla,forward transfer (FWT),282.0
piecewise,reacher_easy,vanilla,forward transfer (FWT),381.52
piecewise,reacher_easy,vanilla,forward transfer (FWT),192.52
piecewise,reacher_easy,vanilla,forward transfer (FWT),339.85
piecewise,reacher_easy,vanilla,forward transfer (FWT),307.35
piecewise,reacher_easy,vanilla,forward transfer (FWT),270.5
piecewise,reacher_easy,vanilla,forward transfer (FWT),410.38
piecewise,reacher_easy,vanilla,forward transfer (FWT),401.53
piecewise,reacher_easy,vanilla,forward transfer (FWT),356.4
piecewise,reacher_easy,vanilla,forward transfer (FWT),357.1
piecewise,reacher_easy,vanilla,forward transfer (FWT),289.45
piecewise,ball_in_cup_catch,vanilla,forward transfer (FWT),355.45
piecewise,ball_in_cup_catch,vanilla,forward transfer (FWT),301.07
piecewise,ball_in_cup_catch,vanilla,forward transfer (FWT),226.88
piecewise,ball_in_cup_catch,vanilla,forward transfer (FWT),660.58
piecewise,ball_in_cup_catch,vanilla,forward transfer (FWT),201.58
piecewise,ball_in_cup_catch,vanilla,forward transfer (FWT),382.02
piecewise,ball_in_cup_catch,vanilla,forward transfer (FWT),427.8
piecewise,ball_in_cup_catch,vanilla,forward transfer (FWT),388.42
piecewise,ball_in_cup_catch,vanilla,forward transfer (FWT),283.02
piecewise,ball_in_cup_catch,vanilla,forward transfer (FWT),392.45
piecewise,cheetah_run,vanilla,forward transfer (FWT),187.39
piecewise,cheetah_run,vanilla,forward transfer (FWT),271.85
piecewise,cheetah_run,vanilla,forward transfer (FWT),308.78
piecewise,cheetah_run,vanilla,forward transfer (FWT),308.38
piecewise,cheetah_run,vanilla,forward transfer (FWT),205.99
piecewise,cheetah_run,vanilla,forward transfer (FWT),338.03
piecewise,cheetah_run,vanilla,forward transfer (FWT),251.72
piecewise,cheetah_run,vanilla,forward transfer (FWT),339.91
piecewise,cheetah_run,vanilla,forward transfer (FWT),271.45
piecewise,cheetah_run,vanilla,forward transfer (FWT),276.6
piecewise,walker_stand,vanilla,forward transfer (FWT),468.42
piecewise,walker_stand,vanilla,forward transfer (FWT),284.01
piecewise,walker_stand,vanilla,forward transfer (FWT),351.96
piecewise,walker_stand,vanilla,forward transfer (FWT),338.35
piecewise,walker_stand,vanilla,forward transfer (FWT),161.7
piecewise,walker_stand,vanilla,forward transfer (FWT),119.2
piecewise,walker_stand,vanilla,forward transfer (FWT),104.09
piecewise,walker_stand,vanilla,forward transfer (FWT),388.81
piecewise,walker_stand,vanilla,forward transfer (FWT),76.28
piecewise,walker_stand,vanilla,forward transfer (FWT),53.55
piecewise,walker_walk,vanilla,forward transfer (FWT),187.36
piecewise,walker_walk,vanilla,forward transfer (FWT),160.84
piecewise,walker_walk,vanilla,forward transfer (FWT),159.95
piecewise,walker_walk,vanilla,forward transfer (FWT),220.05
piecewise,walker_walk,vanilla,forward transfer (FWT),154.2
piecewise,walker_walk,vanilla,forward transfer (FWT),250.29
piecewise,walker_walk,vanilla,forward transfer (FWT),125.8
piecewise,walker_walk,vanilla,forward transfer (FWT),180.67
piecewise,walker_walk,vanilla,forward transfer (FWT),158.42
piecewise,walker_walk,vanilla,forward transfer (FWT),114.6
piecewise,cartpole_swingup,ewc,forward transfer (FWT),425.51
piecewise,cartpole_swingup,ewc,forward transfer (FWT),402.05
piecewise,cartpole_swingup,ewc,forward transfer (FWT),409.33
piecewise,cartpole_swingup,ewc,forward transfer (FWT),360.77
piecewise,cartpole_swingup,ewc,forward transfer (FWT),483.21
piecewise,cartpole_swingup,ewc,forward transfer (FWT),525.87
piecewise,cartpole_swingup,ewc,forward transfer (FWT),583.37
piecewise,cartpole_swingup,ewc,forward transfer (FWT),535.69
piecewise,cartpole_swingup,ewc,forward transfer (FWT),591.73
piecewise,cartpole_swingup,ewc,forward transfer (FWT),426.93
piecewise,reacher_easy,ewc,forward transfer (FWT),357.7
piecewise,reacher_easy,ewc,forward transfer (FWT),246.72
piecewise,reacher_easy,ewc,forward transfer (FWT),403.83
piecewise,reacher_easy,ewc,forward transfer (FWT),330.43
piecewise,reacher_easy,ewc,forward transfer (FWT),254.05
piecewise,reacher_easy,ewc,forward transfer (FWT),423.53
piecewise,reacher_easy,ewc,forward transfer (FWT),413.18
piecewise,reacher_easy,ewc,forward transfer (FWT),442.85
piecewise,reacher_easy,ewc,forward transfer (FWT),264.68
piecewise,reacher_easy,ewc,forward transfer (FWT),378.12
piecewise,ball_in_cup_catch,ewc,forward transfer (FWT),114.95
piecewise,ball_in_cup_catch,ewc,forward transfer (FWT),455.75
piecewise,ball_in_cup_catch,ewc,forward transfer (FWT),167.03
piecewise,ball_in_cup_catch,ewc,forward transfer (FWT),484.57
piecewise,ball_in_cup_catch,ewc,forward transfer (FWT),237.33
piecewise,ball_in_cup_catch,ewc,forward transfer (FWT),266.62
piecewise,ball_in_cup_catch,ewc,forward transfer (FWT),749.5
piecewise,ball_in_cup_catch,ewc,forward transfer (FWT),125.7
piecewise,ball_in_cup_catch,ewc,forward transfer (FWT),365.23
piecewise,ball_in_cup_catch,ewc,forward transfer (FWT),733.02
piecewise,cheetah_run,ewc,forward transfer (FWT),208.55
piecewise,cheetah_run,ewc,forward transfer (FWT),295.17
piecewise,cheetah_run,ewc,forward transfer (FWT),330.16
piecewise,cheetah_run,ewc,forward transfer (FWT),339.48
piecewise,cheetah_run,ewc,forward transfer (FWT),258.41
piecewise,cheetah_run,ewc,forward transfer (FWT),320.47
piecewise,cheetah_run,ewc,forward transfer (FWT),259.64
piecewise,cheetah_run,ewc,forward transfer (FWT),367.91
piecewise,cheetah_run,ewc,forward transfer (FWT),310.14
piecewise,cheetah_run,ewc,forward transfer (FWT),314.77
piecewise,walker_stand,ewc,forward transfer (FWT),578.73
piecewise,walker_stand,ewc,forward transfer (FWT),376.48
piecewise,walker_stand,ewc,forward transfer (FWT),476.33
piecewise,walker_stand,ewc,forward transfer (FWT),250.86
piecewise,walker_stand,ewc,forward transfer (FWT),191.47
piecewise,walker_stand,ewc,forward transfer (FWT),143.24
