setup,environment,env_step,median_return
piecewise,cartpole_swingup,0,0.0
piecewise,cartpole_swingup,307969,293.22
piecewise,cartpole_swingup,615939,607.08
piecewise,cartpole_swingup,923909,467.68
piecewise,cartpole_swingup,1231879,497.1
piecewise,cartpole_swingup,1539849,744.67
piecewise,cartpole_swingup,1847819,771.52
piecewise,cartpole_swingup,2155789,487.87
piecewise,cartpole_swingup,2463759,492.18
piecewise,cartpole_swingup,2771729,745.11
piecewise,reacher_easy,0,0.0
piecewise,reacher_easy,307969,509.19
piecewise,reacher_easy,615939,621.36
piecewise,reacher_easy,923909,581.14
piecewise,reacher_easy,1231879,576.39
piecewise,reacher_easy,1539849,321.48
piecewise,reacher_easy,1847819,395.62
piecewise,reacher_easy,2155789,606.75
piecewise,reacher_easy,2463759,547.85
piecewise,reacher_easy,2771729,381.52
piecewise,ball_in_cup_catch,0,0.0
piecewise,ball_in_cup_catch,307969,492.46
piecewise,ball_in_cup_catch,615939,702.69
piecewise,ball_in_cup_catch,923909,807.74
piecewise,ball_in_cup_catch,1231879,842.25
piecewise,ball_in_cup_catch,1539849,781.24
piecewise,ball_in_cup_catch,1847819,810.07
piecewise,ball_in_cup_catch,2155789,849.37
piecewise,ball_in_cup_catch,2463759,867.7
piecewise,ball_in_cup_catch,2771729,858.28
piecewise,cheetah_run,0,0.0
piecewise,cheetah_run,307969,212.89
piecewise,cheetah_run,615939,323.38
piecewise,cheetah_run,923909,346.18
piecewise,cheetah_run,1231879,392.07
piecewise,cheetah_run,1539849,288.63
piecewise,cheetah_run,1847819,312.8
piecewise,cheetah_run,2155789,391.03
piecewise,cheetah_run,2463759,407.59
piecewise,cheetah_run,2771729,317.71
piecewise,walker_stand,0,0.0
piecewise,walker_stand,307969,230.48
piecewise,walker_stand,615939,299.25
piecewise,walker_stand,923909,402.81
piecewise,walker_stand,1231879,476.32
piecewise,walker_stand,1539849,421.86
piecewise,walker_stand,1847819,549.36
piecewise,walker_stand,2155789,562.33
piecewise,walker_stand,2463759,612.25
piecewise,walker_stand,2771729,491.93
piecewise,walker_walk,0,0.0
piecewise,walker_walk,307969,156.71
piecewise,walker_walk,615939,246.81
piecewise,walker_walk,923909,260.85
piecewise,walker_walk,1231879,320.93
piecewise,walker_walk,1539849,179.89
piecewise,walker_walk,1847819,215.24
piecewise,walker_walk,2155789,298.65
piecewise,walker_walk,2463759,342.12
piecewise,walker_walk,2771729,213.72
lipschitz1,cartpole_swingup,0,0.0
lipschitz1,cartpole_swingup,307969,246.52
lipschitz1,cartpole_swingup,615939,399.17
lipschitz1,cartpole_swingup,923909,707.41
lipschitz1,cartpole_swingup,1231879,697.98
lipschitz1,cartpole_swingup,1539849,524.92
lipschitz1,cartpole_swingup,1847819,585.86
lipschitz1,cartpole_swingup,2155789,756.27
lipschitz1,cartpole_swingup,2463759,756.11
lipschitz1,cartpole_swingup,2771729,544.21
lipschitz1,reacher_easy,0,0.0
lipschitz1,reacher_easy,307969,507.5
lipschitz1,reacher_easy,615939,521.91
lipschitz1,reacher_easy,923909,410.25
lipschitz1,reacher_easy,1231879,571.12
lipschitz1,reacher_easy,1539849,597.51
lipschitz1,reacher_easy,1847819,617.82
lipschitz1,reacher_easy,2155789,460.09
lipschitz1,reacher_easy,2463759,615.02
lipschitz1,reacher_easy,2771729,625.64
lipschitz1,cheetah_run,0,0.0
lipschitz1,cheetah_run,307969,207.78
lipschitz1,cheetah_run,615939,328.5
lipschitz1,cheetah_run,923909,311.38
lipschitz1,cheetah_run,1231879,416.07
lipschitz1,cheetah_run,1539849,428.21
lipschitz1,cheetah_run,1847819,442.68
lipschitz1,cheetah_run,2155789,352.32
lipschitz1,cheetah_run,2463759,436.66
lipschitz1,cheetah_run,2771729,439.06
lipschitz1,walker_stand,0,0.0
lipschitz1,walker_stand,307969,233.13
lipschitz1,walker_stand,615939,278.55
lipschitz1,walker_stand,923909,273.46
lipschitz1,walker_stand,1231879,360.86
lipschitz1,walker_stand,1539849,399.06
lipschitz1,walker_stand,1847819,461.64
lipschitz1,walker_stand,2155789,339.32
lipschitz1,walker_stand,2463759,404.81
lipschitz1,walker_stand,2771729,426.45
lipschitz1,walker_walk,0,0.0
lipschitz1,walker_walk,307969,166.62
lipschitz1,walker_walk,615939,220.13
lipschitz1,walker_walk,923909,132.91
lipschitz1,walker_walk,1231879,225.21
lipschitz1,walker_walk,1539849,274.14
lipschitz1,walker_walk,1847819,306.89
lipschitz1,walker_walk,2155789,145.21
lipschitz1,walker_walk,2463759,241.0
lipschitz1,walker_walk,2771729,311.79
lipschitz2,cartpole_swingup,0,0.0
lipschitz2,cartpole_swingup,307969,246.29
lipschitz2,cartpole_swingup,615939,407.1
lipschitz2,cartpole_swingup,923909,712.69
lipschitz2,cartpole_swingup,1231879,727.04
lipschitz2,cartpole_swingup,1539849,569.0
lipschitz2,cartpole_swingup,1847819,610.17
lipschitz2,cartpole_swingup,2155789,776.07
lipschitz2,cartpole_swingup,2463759,740.96
lipschitz2,cartpole_swingup,2771729,612.13
lipschitz2,reacher_easy,0,0.0
lipschitz2,reacher_easy,307969,500.86
lipschitz2,reacher_easy,615939,508.7
lipschitz2,reacher_easy,923909,400.01
lipschitz2,reacher_easy,1231879,531.03
lipschitz2,reacher_easy,1539849,582.13
lipschitz2,reacher_easy,1847819,547.67
lipschitz2,reacher_easy,2155789,452.65
lipschitz2,reacher_easy,2463759,549.46
lipschitz2,reacher_easy,2771729,663.64
lipschitz2,cheetah_run,0,0.0
lipschitz2,cheetah_run,307969,186.05
lipschitz2,cheetah_run,615939,312.08
lipschitz2,cheetah_run,923909,287.06
lipschitz2,cheetah_run,1231879,365.75
lipschitz2,cheetah_run,1539849,393.02
lipschitz2,cheetah_run,1847819,395.48
lipschitz2,cheetah_run,2155789,333.8
lipschitz2,cheetah_run,2463759,403.67
lipschitz2,cheetah_run,2771729,407.61
lipschitz2,walker_stand,0,0.0
lipschitz2,walker_stand,307969,238.88
lipschitz2,walker_stand,615939,282.71
lipschitz2,walker_stand,923909,271.61
lipschitz2,walker_stand,1231879,320.96
lipschitz2,walker_stand,1539849,358.98
lipschitz2,walker_stand,1847819,362.65
lipschitz2,walker_stand,2155789,293.04
lipschitz2,walker_stand,2463759,344.87
lipschitz2,walker_stand,2771729,376.6
