setup,environment,env_step,pt_minus_vanilla
piecewise,cartpole_swingup,0,0.0
piecewise,cartpole_swingup,307969,-25.73
piecewise,cartpole_swingup,615939,45.77
piecewise,cartpole_swingup,923909,-16.21
piecewise,cartpole_swingup,1231879,46.71
piecewise,cartpole_swingup,1539849,64.83
piecewise,cartpole_swingup,1847819,87.86
piecewise,cartpole_swingup,2155789,45.52
piecewise,cartpole_swingup,2463759,-14.72
piecewise,cartpole_swingup,2771729,56.09
piecewise,reacher_easy,0,0.0
piecewise,reacher_easy,307969,-8.16
piecewise,reacher_easy,615939,-15.17
piecewise,reacher_easy,923909,-44.16
piecewise,reacher_easy,1231879,-89.34
piecewise,reacher_easy,1539849,-179.09
piecewise,reacher_easy,1847819,-108.19
piecewise,reacher_easy,2155789,-46.9
piecewise,reacher_easy,2463759,-98.58
piecewise,reacher_easy,2771729,-122.7
piecewise,ball_in_cup_catch,0,0.0
piecewise,ball_in_cup_catch,307969,-133.91
piecewise,ball_in_cup_catch,615939,-96.56
piecewise,ball_in_cup_catch,923909,-34.42
piecewise,ball_in_cup_catch,1231879,-26.71
piecewise,ball_in_cup_catch,1539849,-54.84
piecewise,ball_in_cup_catch,1847819,-34.32
piecewise,ball_in_cup_catch,2155789,-7.1
piecewise,ball_in_cup_catch,2463759,-6.85
piecewise,ball_in_cup_catch,2771729,5.36
piecewise,cheetah_run,0,0.0
piecewise,cheetah_run,307969,-6.63
piecewise,cheetah_run,615939,-46.72
piecewise,cheetah_run,923909,-27.98
piecewise,cheetah_run,1231879,-9.5
piecewise,cheetah_run,1539849,-33.87
piecewise,cheetah_run,1847819,-28.58
piecewise,cheetah_run,2155789,45.63
piecewise,cheetah_run,2463759,54.94
piecewise,cheetah_run,2771729,60.13
piecewise,walker_stand,0,0.0
piecewise,walker_stand,307969,-52.77
piecewise,walker_stand,615939,-118.67
piecewise,walker_stand,923909,-71.62
piecewise,walker_stand,1231879,-18.7
piecewise,walker_stand,1539849,125.04
piecewise,walker_stand,1847819,228.78
piecewise,walker_stand,2155789,247.41
piecewise,walker_stand,2463759,312.93
piecewise,walker_stand,2771729,223.38
piecewise,walker_walk,0,0.0
piecewise,walker_walk,307969,-78.07
piecewise,walker_walk,615939,-113.99
piecewise,walker_walk,923909,-68.43
piecewise,walker_walk,1231879,-33.58
piecewise,walker_walk,1539849,-91.3
piecewise,walker_walk,1847819,-91.69
piecewise,walker_walk,2155789,34.37
piecewise,walker_walk,2463759,56.23
piecewise,walker_walk,2771729,-17.41
lipschitz1,cartpole_swingup,0,0.0
lipschitz1,cartpole_swingup,307969,-27.79
lipschitz1,cartpole_swingup,615939,-33.35
lipschitz1,cartpole_swingup,923909,62.46
lipschitz1,cartpole_swingup,1231879,59.82
lipschitz1,cartpole_swingup,1539849,-51.74
lipschitz1,cartpole_swingup,1847819,20.93
lipschitz1,cartpole_swingup,2155789,117.6
lipschitz1,cartpole_swingup,2463759,123.73
lipschitz1,cartpole_swingup,2771729,21.15
lipschitz1,reacher_easy,0,0.0
lipschitz1,reacher_easy,307969,27.71
lipschitz1,reacher_easy,615939,-12.74
lipschitz1,reacher_easy,923909,19.26
lipschitz1,reacher_easy,1231879,51.91
lipschitz1,reacher_easy,1539849,-16.47
lipschitz1,reacher_easy,1847819,0.54
lipschitz1,reacher_easy,2155789,46.53
lipschitz1,reacher_easy,2463759,64.88
lipschitz1,reacher_easy,2771729,-21.06
lipschitz1,cheetah_run,0,0.0
lipschitz1,cheetah_run,307969,-20.5
lipschitz1,cheetah_run,615939,-30.2
lipschitz1,cheetah_run,923909,-0.78
lipschitz1,cheetah_run,1231879,50.6
lipschitz1,cheetah_run,1539849,65.73
lipschitz1,cheetah_run,1847819,62.7
lipschitz1,cheetah_run,2155789,104.84
lipschitz1,cheetah_run,2463759,132.88
lipschitz1,cheetah_run,2771729,99.72
lipschitz1,walker_stand,0,0.0
lipschitz1,walker_stand,307969,-12.67
lipschitz1,walker_stand,615939,-0.07
lipschitz1,walker_stand,923909,-4.36
lipschitz1,walker_stand,1231879,66.52
lipschitz1,walker_stand,1539849,84.59
lipschitz1,walker_stand,1847819,157.87
lipschitz1,walker_stand,2155789,66.85
lipschitz1,walker_stand,2463759,132.37
lipschitz1,walker_stand,2771729,136.3
lipschitz1,walker_walk,0,0.0
lipschitz1,walker_walk,307969,-39.37
lipschitz1,walker_walk,615939,-72.45
lipschitz1,walker_walk,923909,-87.51
lipschitz1,walker_walk,1231879,-90.2
lipschitz1,walker_walk,1539849,-4.07
lipschitz1,walker_walk,1847819,65.98
lipschitz1,walker_walk,2155789,-1.06
lipschitz1,walker_walk,2463759,25.66
lipschitz1,walker_walk,2771729,122.93
lipschitz2,cartpole_swingup,0,0.0
lipschitz2,cartpole_swingup,307969,-16.16
lipschitz2,cartpole_swingup,615939,4.14
lipschitz2,cartpole_swingup,923909,115.99
lipschitz2,cartpole_swingup,1231879,139.55
lipschitz2,cartpole_swingup,1539849,31.6
lipschitz2,cartpole_swingup,1847819,44.57
lipschitz2,cartpole_swingup,2155789,142.68
lipschitz2,cartpole_swingup,2463759,133.9
lipschitz2,cartpole_swingup,2771729,82.37
lipschitz2,reacher_easy,0,0.0
lipschitz2,reacher_easy,307969,7.07
lipschitz2,reacher_easy,615939,-70.94
lipschitz2,reacher_easy,923909,-117.48
lipschitz2,reacher_easy,1231879,-117.58
lipschitz2,reacher_easy,1539849,-94.07
lipschitz2,reacher_easy,1847819,-135.44
lipschitz2,reacher_easy,2155789,-64.37
lipschitz2,reacher_easy,2463759,-91.57
lipschitz2,reacher_easy,2771729,-1.86
lipschitz2,cheetah_run,0,0.0
lipschitz2,cheetah_run,307969,-25.58
lipschitz2,cheetah_run,615939,17.04
